,Series_Type,Series_Name
329,FLDESO7URN,"Unemployment Rate in DeSoto County, FL"
330,FLDIXI9URN,"Unemployment Rate in Dixie County, FL"
331,FLDUVA0URN,"Unemployment Rate in Duval County, FL"
332,FLESCA0URN,"Unemployment Rate in Escambia County, FL"
333,FLFLAG5URN,"Unemployment Rate in Flagler County, FL"
334,FLFRAN7URN,"Unemployment Rate in Franklin County, FL"
335,FLGADS9URN,"Unemployment Rate in Gadsden County, FL"
336,FLGILC1URN,"Unemployment Rate in Gilchrist County, FL"
337,FLGLAD3URN,"Unemployment Rate in Glades County, FL"
338,FLGULF5URN,"Unemployment Rate in Gulf County, FL"
339,FLHAMI7URN,"Unemployment Rate in Hamilton County, FL"
340,FLHARD9URN,"Unemployment Rate in Hardee County, FL"
341,FLHEND1URN,"Unemployment Rate in Hendry County, FL"
342,FLHERN3URN,"Unemployment Rate in Hernando County, FL"
343,FLHIGH5URN,"Unemployment Rate in Highlands County, FL"
344,FLHILL7URN,"Unemployment Rate in Hillsborough County, FL"
345,FLHOLM9URN,"Unemployment Rate in Holmes County, FL"
346,FLINDI0URN,"Unemployment Rate in Indian River County, FL"
347,FLJACK3URN,"Unemployment Rate in Jackson County, FL"
348,FLJEFF5URN,"Unemployment Rate in Jefferson County, FL"
349,FLLAFA7URN,"Unemployment Rate in Lafayette County, FL"
350,FLLAKE4URN,"Unemployment Rate in Lake County, FL"
351,FLLEEC7URN,"Unemployment Rate in Lee County, FL"
352,FLLEON3URN,"Unemployment Rate in Leon County, FL"
353,FLLEVY5URN,"Unemployment Rate in Levy County, FL"
354,FLLIBE7URN,"Unemployment Rate in Liberty County, FL"
355,FLMADI9URN,"Unemployment Rate in Madison County, FL"
356,FLMANA1URN,"Unemployment Rate in Manatee County, FL"
357,FLMARI7URN,"Unemployment Rate in Marion County, FL"
358,FLMART7URN,"Unemployment Rate in Martin County, FL"
359,FLMIAM6URN,"Unemployment Rate in Miami-Dade County, FL"
360,FLMONR5URN,"Unemployment Rate in Monroe County, FL"
361,FLNASS9URN,"Unemployment Rate in Nassau County, FL"
362,FLOKAL7URN,"Unemployment Rate in Okaloosa County, FL"
363,FLOKEE3URN,"Unemployment Rate in Okeechobee County, FL"
364,FLORAN0URN,"Unemployment Rate in Orange County, FL"
365,FLOSCE7URN,"Unemployment Rate in Osceola County, FL"
366,FLPALM2URN,"Unemployment Rate in Palm Beach County, FL"
367,FLPASC5URN,"Unemployment Rate in Pasco County, FL"
368,FLPINE5URN,"Unemployment Rate in Pinellas County, FL"
369,FLPOLK5URN,"Unemployment Rate in Polk County, FL"
370,FLPUTN7URN,"Unemployment Rate in Putnam County, FL"
371,FLSANT7URN,"Unemployment Rate in Santa Rosa County, FL"
372,FLSARA5URN,"Unemployment Rate in Sarasota County, FL"
373,FLSEMI0URN,"Unemployment Rate in Seminole County, FL"
374,FLSTJO9URN,"Unemployment Rate in St. Johns County, FL"
375,FLSTLU5URN,"Unemployment Rate in St. Lucie County, FL"
376,FLSUMT9URN,"Unemployment Rate in Sumter County, FL"
377,FLSUWA1URN,"Unemployment Rate in Suwannee County, FL"
378,FLTAYL3URN,"Unemployment Rate in Taylor County, FL"
379,FLUNIO5URN,"Unemployment Rate in Union County, FL"
380,FLVOLU7URN,"Unemployment Rate in Volusia County, FL"
381,FLWAKU9URN,"Unemployment Rate in Wakulla County, FL"
382,FLWALT1URN,"Unemployment Rate in Walton County, FL"
383,FLWASH3URN,"Unemployment Rate in Washington County, FL"
384,GAAPPL1URN,"Unemployment Rate in Appling County, GA"
385,GAATKI3URN,"Unemployment Rate in Atkinson County, GA"
386,GABACO5URN,"Unemployment Rate in Bacon County, GA"
387,GABAKE7URN,"Unemployment Rate in Baker County, GA"
388,GABALD9URN,"Unemployment Rate in Baldwin County, GA"
389,GABANK1URN,"Unemployment Rate in Banks County, GA"
390,GABARR3URN,"Unemployment Rate in Barrow County, GA"
391,GABART5URN,"Unemployment Rate in Bartow County, GA"
392,GABENH7URN,"Unemployment Rate in Ben Hill County, GA"
393,GABERR9URN,"Unemployment Rate in Berrien County, GA"
394,GABIBB1URN,"Unemployment Rate in Bibb County, GA"
395,GABLEC3URN,"Unemployment Rate in Bleckley County, GA"
396,GABRAN5URN,"Unemployment Rate in Brantley County, GA"
397,GABROO7URN,"Unemployment Rate in Brooks County, GA"
398,GABRYA9URN,"Unemployment Rate in Bryan County, GA"
399,GABULL1URN,"Unemployment Rate in Bulloch County, GA"
400,GABURK3URN,"Unemployment Rate in Burke County, GA"
401,GABUTT5URN,"Unemployment Rate in Butts County, GA"
402,GACALH7URN,"Unemployment Rate in Calhoun County, GA"
403,GACAMD9URN,"Unemployment Rate in Camden County, GA"
404,GACAND3URN,"Unemployment Rate in Candler County, GA"
405,GACARR0URN,"Unemployment Rate in Carroll County, GA"
406,GACATO7URN,"Unemployment Rate in Catoosa County, GA"
407,GACHAR9URN,"Unemployment Rate in Charlton County, GA"
408,GACHAT3URN,"Unemployment Rate in Chattahoochee County, GA"
409,GACHAT5URN,"Unemployment Rate in Chattooga County, GA"
410,GACHAT9URN,"Unemployment Rate in Chatham County, GA"
411,GACHER5URN,"Unemployment Rate in Cherokee County, GA"
412,GACLAR5URN,"Unemployment Rate in Clarke County, GA"
413,GACLAY1URN,"Unemployment Rate in Clay County, GA"
414,GACLAY5URN,"Unemployment Rate in Clayton County, GA"
415,GACLIN5URN,"Unemployment Rate in Clinch County, GA"
416,GACOBB0URN,"Unemployment Rate in Cobb County, GA"
417,GACOFF9URN,"Unemployment Rate in Coffee County, GA"
418,GACOLQ1URN,"Unemployment Rate in Colquitt County, GA"
419,GACOLU3URN,"Unemployment Rate in Columbia County, GA"
420,GACOOK5URN,"Unemployment Rate in Cook County, GA"
421,GACOWE7URN,"Unemployment Rate in Coweta County, GA"
422,GACRAW9URN,"Unemployment Rate in Crawford County, GA"
423,GACRIS1URN,"Unemployment Rate in Crisp County, GA"
424,GADADE3URN,"Unemployment Rate in Dade County, GA"
425,GADAWS5URN,"Unemployment Rate in Dawson County, GA"
426,GADECA7URN,"Unemployment Rate in Decatur County, GA"
427,GADEKA9URN,"Unemployment Rate in DeKalb County, GA"
428,GADODG1URN,"Unemployment Rate in Dodge County, GA"
429,GADOOL3URN,"Unemployment Rate in Dooly County, GA"
430,GADOUG0URN,"Unemployment Rate in Douglas County, GA"
431,GADOUG5URN,"Unemployment Rate in Dougherty County, GA"
432,GAEARL9URN,"Unemployment Rate in Early County, GA"
433,GAECHO1URN,"Unemployment Rate in Echols County, GA"
434,GAEFFI3URN,"Unemployment Rate in Effingham County, GA"
435,GAELBE5URN,"Unemployment Rate in Elbert County, GA"
436,GAEMAN7URN,"Unemployment Rate in Emanuel County, GA"
437,GAEVAN9URN,"Unemployment Rate in Evans County, GA"
438,GAFANN1URN,"Unemployment Rate in Fannin County, GA"
439,GAFAYE3URN,"Unemployment Rate in Fayette County, GA"
440,GAFLOY0URN,"Unemployment Rate in Floyd County, GA"
441,GAFORS7URN,"Unemployment Rate in Forsyth County, GA"
442,GAFRAN9URN,"Unemployment Rate in Franklin County, GA"
443,GAFULT1URN,"Unemployment Rate in Fulton County, GA"
444,GAGILM3URN,"Unemployment Rate in Gilmer County, GA"
